name,artist,id,popularity,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence
9 Crimes,Damien Rice,5GZEeowhvSieFDiR8fQ2im,"61
",0.346,0,1,7.73e-05,217947,4,0.139,-15.326,0.0321,0.913,136.168,0.0934,0.116
In The Air Tonight,Phil Collins,7Dbg5O9nNWu6SWxDjJ9qoq,"0
",0.597,2,0,6.23e-06,333120,4,0.313,-10.791,0.0265,0.669,94.987,0.0734,0.357
Goodbye My Lover,James Blunt,6gxycjJNMgmAyfzUXBN80P,"69
",0.432,4,1,0.00342,258653,4,0.261,-12.591,0.0512,0.953,89.567,0.0903,0.273
Iris,The Goo Goo Dolls,6vrUTGn5p8IrfTZ0J6sIVM,"75
",0.291,11,0,5.61e-06,289907,3,0.79,-5.683,0.0363,0.00133,155.667,0.0811,0.513
Sultans Of Swing,Dire Straits,6pqawkYEUzzuKve6QNfBaT,"0
",0.73,5,1,0.0608,346600,4,0.869,-7.307,0.0294,0.0605,148.152,0.335,0.903
My Immortal,Evanescence,36i9HyLz4ziVtELURFg6jf,"0
",0.216,9,1,0.0,262800,4,0.261,-9.259,0.0321,0.874,75.443,0.134,0.092
How You Remind Me,Nickelback,0gmbgwZ8iqyMPmXefof8Yf,"79
",0.446,10,1,0.0,223840,4,0.764,-5.042,0.033,0.00135,172.094,0.099,0.543
Misery Business,Paramore,6SpLc7EXZIPpy0sVko0aoU,"73
",0.517,1,1,9.26e-06,211520,4,0.906,-3.677,0.0735,0.00272,172.977,0.113,0.731
Heartbeats,José González,11X4Gw3T4hoktVruLgTnm1,"66
",0.552,3,1,0.731,160240,4,0.15,-16.746,0.0347,0.974,87.485,0.0698,0.316
Run to the Hills - 1998 Remastered Version,Iron Maiden,2JS1iE5A5RHvUPH5Zl9jlF,"0
",0.221,0,1,0.000523,233960,4,0.956,-4.641,0.0876,0.0103,173.254,0.195,0.432
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,"83
",0.429,11,1,0.00013,266773,4,0.661,-7.227,0.0281,0.00239,173.365,0.234,0.285
Welcome To The Jungle,Guns N' Roses,0oWHLtxWeMJhmwxtrxhNK0,"0
",0.443,8,1,0.361,273600,4,0.955,-8.066,0.0741,0.0222,123.423,0.297,0.333
Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,"82
",0.818,6,1,0.00233,222640,4,0.705,-6.679,0.177,0.00836,138.559,0.613,0.772
Good Riddance (Time of Your Life),Green Day,6ORqU0bHbVCRjXm9AjyHyZ,"76
",0.475,7,1,0.0,153467,4,0.432,-7.844,0.0302,0.183,94.605,0.161,0.648
Beautiful Day,U2,0G5F2msfVO77xs7ql2RiTS,"0
",0.541,2,1,0.000441,245707,4,0.914,-6.727,0.052,0.0225,136.282,0.353,0.449
Numb,Linkin Park,0kO3njY9N1Rxgv27Ha1lLh,"61
",0.496,9,1,0.0,185587,4,0.863,-4.153,0.0381,0.0046,110.018,0.639,0.243
You're Beautiful,James Blunt,0vg4WnUWvze6pBOJDTq99k,"77
",0.675,0,0,1.76e-05,209493,4,0.479,-9.87,0.0278,0.633,81.998,0.088,0.454
The Pretender,Foo Fighters,3ZsjgLDSvusBgxGWrTAVto,"0
",0.433,9,1,0.0,269373,4,0.959,-4.04,0.0431,0.000917,172.984,0.028,0.365
Det snurrar i min skalle,Familjen,3b7fBk9K03QWUg6F3w1G12,"0
",0.641,7,1,0.0277,254467,4,0.802,-5.383,0.0471,0.000119,130.017,0.0611,0.929
Under The Bridge,Red Hot Chili Peppers,7C3fJ1q01IQ137IQTRwmVZ,"0
",0.475,9,1,5.8e-05,267560,4,0.401,-11.672,0.0515,0.0285,84.742,0.115,0.475
November Rain,Guns N' Roses,53968oKecrFxkErocab2Al,"1
",0.197,11,1,0.279,537507,4,0.629,-9.291,0.03,0.0165,79.495,0.125,0.221
Last Nite,The Strokes,7kzKAuUzOITUauHAhoMoxA,"73
",0.624,0,1,0.000198,193051,4,0.91,-5.703,0.0297,0.0285,104.042,0.0789,0.767
Alias,In Flames,4CeT4xcG9c345vvUhldXOc,"0
",0.427,10,0,0.000844,289240,4,0.93,-3.734,0.0592,0.0194,170.027,0.2,0.361
I Don't Want To Miss A Thing,Aerosmith,2QoAsBYPMO1rbgtRgXIS62,"0
",0.399,2,1,0.0,298053,4,0.704,-4.13,0.0327,0.123,120.883,0.138,0.126
Walk Of Life,Dire Straits,7w4Tbkbx081vRJa8ol56Qf,"0
",0.461,4,1,0.000135,249333,4,0.936,-6.824,0.104,0.416,172.43,0.136,0.811
I Only Wanna Be With You,Volbeat,4fmHQdt9I9mi4hAVmt0Iyz,"0
",0.429,2,1,0.00714,164093,4,0.991,-4.816,0.0902,6.82e-06,137.996,0.0444,0.583
Yeah!,Usher,2PkeVPcL32LA96cK5ySC3c,"1
",0.895,2,1,0.0,250067,4,0.795,-4.693,0.0977,0.0219,105.004,0.0403,0.574
Losing My Religion,R.E.M.,74EV0g12ihUoOUXMprFpZB,"0
",0.672,9,0,0.0,267733,4,0.841,-5.992,0.0285,0.0767,125.437,0.135,0.82
What I've Done,Linkin Park,4JErskWxmILvav6U2PkTbn,"37
",0.623,5,1,1.64e-06,205613,4,0.93,-5.285,0.0324,0.0141,120.119,0.138,0.287
Naive,The Kooks,7BHPGtpuuWWsvE7cCaMuEU,"74
",0.391,8,0,0.0,203507,4,0.808,-6.209,0.0892,0.0759,100.304,0.149,0.737
Don't Stop Me Now,Queen,2RknY4IqSPwagR0v5wchIW,"0
",0.566,0,1,0.0114,209447,4,0.876,-4.6,0.187,0.0175,156.291,0.677,0.642
Kryptonite,3 Doors Down,5ZPp1V3PufN6qhAe3rLNmb,"0
",0.544,11,0,1.43e-05,233827,4,0.878,-5.145,0.0288,0.00657,99.024,0.17,0.527
Knockin' On Heaven's Door,Guns N' Roses,2C4aYxNpoPkmoZ3ZdPeuOB,"0
",0.496,6,1,0.00444,336000,4,0.739,-7.193,0.0415,0.0211,132.41,0.106,0.378
Another Day In Paradise,Phil Collins,3wNXqTMimmuTEj1iEPftC7,"0
",0.792,5,0,0.00212,322173,4,0.411,-12.384,0.033,0.786,101.976,0.0499,0.41
Bitter Sweet Symphony,The Verve,1WYEDcS7WGjv0rG7rmMX3o,"62
",0.356,9,1,0.0,359547,4,0.913,-6.015,0.0499,0.0339,171.157,0.221,0.537
Wherever You Will Go,The Calling,2n6FX3Jcg4b4Leoz0GOqBF,"68
",0.555,2,1,0.0,208507,4,0.717,-5.114,0.0269,0.0414,112.03,0.116,0.374
Crazy,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,"78
",0.855,8,1,0.00714,177466,4,0.587,-4.589,0.0336,0.0505,111.97,0.105,0.64
Unfaithful,Rihanna,3husjxyCMBvNeiTEcrpPSe,"0
",0.588,0,0,0.0,224630,4,0.391,-8.596,0.0334,0.839,144.053,0.195,0.349
Summer Of '69,Bryan Adams,5ROeX4Hi9XoBT5hmBR1xra,"0
",0.505,2,1,2.58e-06,216973,4,0.71,-10.853,0.0371,0.0115,138.907,0.0977,0.771
Take Me Out,Franz Ferdinand,7kw6yVmdZGuRcWGi4adXYT,"0
",0.273,9,1,0.000893,239027,4,0.665,-8.795,0.0382,0.000458,104.656,0.117,0.514
Rockstar,Nickelback,2cKCSngj4rdMI9K1deFJOe,"51
",0.616,0,1,0.0,252040,4,0.91,-3.004,0.0386,0.0459,144.073,0.343,0.693
Bohemian Rhapsody,Queen,1yslmgUcM2AOkOPS4sl3QV,"0
",0.39,0,0,0.0,355107,4,0.293,-14.274,0.0537,0.16,143.956,0.202,0.203
Seven Nation Army,The White Stripes,3m6KkYKdnbffMpGd9Pm9FP,"7
",0.745,4,0,0.35,231920,4,0.466,-7.62,0.0864,0.00666,123.889,0.272,0.303
Better Together,Jack Johnson,0rkzM1FJh4xWCTF1NwDGYN,"0
",0.868,5,1,2e-05,207680,4,0.347,-9.529,0.0536,0.308,110.059,0.11,0.659
The Passenger,Iggy Pop,3yP0cohcr97BUNJcgvmSVg,"0
",0.5,0,1,0.0,284067,4,0.846,-8.098,0.0457,0.0797,134.937,0.241,0.738
Best of You,Foo Fighters,4nUM7pGcTUK2pY1d2LybrT,"1
",0.37,1,0,2.9e-06,256600,4,0.944,-4.979,0.0767,0.00701,130.315,0.135,0.345
Smooth Criminal - Radio Edit,Michael Jackson,1mzn6CQ71eUmgCSfbVmicN,"0
",0.856,1,1,0.557,257240,4,0.958,-6.078,0.0729,0.172,118.198,0.318,0.605
Feel,Robbie Williams,2Ms33RTRCT6gArrpcrPxmo,"73
",0.599,5,1,0.000467,263867,4,0.732,-6.843,0.026,0.0145,97.997,0.143,0.295
Come As You Are,Nirvana,5r35Zd5Onw3aV3Gm9XdgtI,"0
",0.5,4,0,0.00655,219027,4,0.832,-6.281,0.0325,8.36e-05,120.066,0.0924,0.553
Where Is The Love?,Black Eyed Peas,0uqPG793dkDDN7sCUJJIVC,"1
",0.835,5,1,0.0,272533,4,0.687,-3.18,0.184,0.101,94.059,0.132,0.828
Harder, Better,2cJz1loJp5EZM6shmQpLZN, Faster,0.814,6,0,0.00333,226413,4,0.73,-8.876,0.149,0.0392,123.494,0.343,0.646
Hide and Seek,Imogen Heap,121so7t3AeX6nLMvxy9ZP9,"53
",0.452,9,1,0.0,268867,4,0.179,-11.165,0.0824,0.899,121.488,0.178,0.103
Clint Eastwood,Gorillaz,1RKUoGiLEbcXN4GY4spQDx,"76
",0.663,10,0,0.0,340920,4,0.694,-8.627,0.172,0.0249,167.964,0.0698,0.524
Fortunate Son,Creedence Clearwater Revival,0Ko737UNjXO17LK4Urdlwo,"0
",0.623,0,1,0.0201,138400,4,0.529,-12.419,0.0353,0.17,132.74,0.489,0.603
Lemon Tree,Fools Garden,1yN2z5XVtaAOYGdeEqEuqd,"0
",0.668,1,1,0.0,191027,4,0.478,-8.849,0.0447,0.669,143.155,0.11,0.678
Technologic,Daft Punk,1iNeZGJsoC0D7ZyJTdIbDS,"57
",0.812,9,1,1.09e-05,284280,4,0.516,-6.963,0.224,0.000369,127.498,0.0991,0.633
Teardrop,Massive Attack,67Hna13dNDkZvBpTXRIaOJ,"70
",0.615,11,0,0.497,330773,4,0.419,-8.8,0.0395,0.0173,76.997,0.135,0.216
I Still Haven't Found What I'm Looking For,U2,3NldGYmhDLK98kOOo4J1lg,"0
",0.564,1,1,0.00339,277333,4,0.84,-6.116,0.0343,0.012,100.649,0.0949,0.663
I Will Follow You into the Dark,Death Cab for Cutie,3kZC0ZmFWrEHdUCmUqlvgZ,"66
",0.517,5,1,0.0,189187,4,0.206,-12.233,0.0421,0.924,80.401,0.118,0.489
Everybody Hurts,R.E.M.,28AZM08WStiEXfqN065BvN,"0
",0.254,2,1,0.0237,318240,3,0.383,-8.036,0.0282,0.614,188.2,0.172,0.178
Remember the Name (feat. Styles of Beyond),Fort Minor,7vwkKw2Xd7Pks1X712Au0T,"58
",0.688,8,1,2.87e-06,230493,4,0.835,-4.162,0.0911,0.0583,84.858,0.0795,0.88
I'm Gonna Be (500 Miles),The Proclaimers,66S14BkJDxgkYxLl5DCqOz,"75
",0.851,4,1,0.0,219467,4,0.551,-5.177,0.0396,0.151,131.922,0.0827,0.807
This Love,Maroon 5,5zF2zGPkL6Ipsn9AfAK6RP,"1
",0.714,5,0,0.0,206200,4,0.868,-4.596,0.0363,0.0551,95.05,0.0987,0.78
Tears in Heaven,Eric Clapton,7utRJ4BeYx85khzP3lKoBX,"63
",0.498,9,1,0.536,271760,4,0.242,-12.238,0.0257,0.835,153.744,0.133,0.312
All Star,Smash Mouth,22c2pt75xtnDddA5Zlm0yy,"0
",0.73,11,1,0.0,200560,4,0.862,-5.876,0.0313,0.0398,104.018,0.0818,0.77
When You Were Young,The Killers,3gNGi2iUGHXGpBQHce6Nua,"0
",0.467,11,1,0.0484,220427,4,0.988,-3.313,0.112,0.000152,130.435,0.28,0.321
New Shoes,Paolo Nutini,265Anh9hGoozFigjUVLUeD,"67
",0.748,8,1,1.09e-05,203653,4,0.735,-8.692,0.0903,0.47,150.04,0.0851,0.854
Someday,The Strokes,56NkIxSZZiMpFP5ZNSxtnT,"67
",0.542,9,1,1.51e-06,183391,4,0.531,-7.481,0.0301,0.0033,105.97,0.338,0.671
Knocked Up,Kings of Leon,6BLpO1HyXTVHlv0fTT3mme,"0
",0.382,9,1,0.0928,430347,4,0.688,-12.569,0.0419,0.268,121.352,0.184,0.207
Sympathy For The Devil,The Rolling Stones,0DQtwZLpvln583U1WWv6To,"0
",0.658,9,1,0.0,377760,4,0.675,-10.967,0.242,0.604,115.574,0.0428,0.587
Still Waiting,Sum 41,0jqK7sGTLsHPkQrrcrGuKD,"70
",0.431,7,1,3.63e-05,158733,4,0.95,-4.918,0.26,0.00105,191.936,0.272,0.56
Brothers In Arms - Edit,Dire Straits,4TZCgwX3si4FsGqboRct9A,"0
",0.415,8,0,0.82,290714,4,0.265,-12.232,0.0274,0.506,79.024,0.0656,0.158
Speed of Sound,Coldplay,7clUVcSOtkNWa58Gw5RfD4,"70
",0.514,11,0,0.0345,287907,4,0.898,-6.765,0.0577,0.00488,123.067,0.0746,0.353
Money For Nothing - Edit,Dire Straits,6j5XX0wwygH7kqTWplx7j4,"0
",0.679,2,0,1.38e-05,246840,4,0.676,-9.734,0.0371,0.0777,134.238,0.0938,0.8
Time After Time,Cyndi Lauper,05NEcj4geEg0JthGNSGUI7,"0
",0.725,0,1,0.0,237867,4,0.433,-9.809,0.0295,0.603,130.536,0.095,0.341
Om du lämnade mig nu,Lars Winnerbäck,17q9gSD214wClyCjqrhmgH,"59
",0.489,9,1,0.00719,247427,4,0.475,-11.012,0.0266,0.27,107.878,0.122,0.46
The Reason,Hoobastank,7afSN5zhUhkbpRFpYKYztK,"0
",0.472,4,1,0.0,232800,4,0.671,-4.649,0.029,0.0129,82.952,0.159,0.0681
Around the World,Daft Punk,1pKYYY0dkg23sQQXi0Q5zN,"72
",0.956,7,1,0.889,429533,4,0.795,-5.311,0.15,0.00356,121.294,0.0906,0.841
Curly Sue,Takida,0uIiMH63tVwLfmMt7OXx2h,"0
",0.53,0,0,0.0,233027,4,0.505,-8.843,0.0278,0.0402,147.964,0.109,0.191
All The Small Things,blink-182,12qZHAeOyTf93YAWvGDTat,"1
",0.442,0,1,0.0,168000,4,0.893,-4.878,0.0505,0.00844,148.119,0.529,0.712
Denied,Sonic Syndicate,3kn91xR0w9zuzLr7DThHcC,"0
",0.444,0,0,2.41e-05,231680,4,0.977,-2.998,0.0859,0.000116,99.976,0.291,0.402
Last Resort,Papa Roach,0SjhCnjTT2bXD9RtU8bFT9,"1
",0.59,4,0,0.000661,199893,4,0.894,-3.661,0.0579,0.000387,90.604,0.269,0.732
Fields Of Gold,Sting,22gLGCKbFKwmgZhrpVcnFb,"57
",0.653,2,1,0.0155,217733,4,0.344,-11.758,0.0246,0.346,104.009,0.0715,0.291
First Day Of My Life,Bright Eyes,00o6POeoYnf971C6EZ8Fil,"0
",0.567,1,0,4.68e-05,183356,4,0.203,-16.735,0.0365,0.904,93.8,0.113,0.4
18 and Life,Skid Row,1HlGblweLq0eAwnb0NY1EQ,"61
",0.457,1,0,7.18e-05,231280,4,0.794,-6.624,0.0298,0.000384,90.439,0.131,0.354
Someday,Flipsyde,3QoyR6lUcQwre11ltnN5yq,"0
",0.6,9,0,0.0,239547,4,0.755,-4.619,0.0455,0.0909,160.358,0.0736,0.353
The Show Must Go On,Queen,3lA3Pm88kZiD7F4X0cXeI4,"0
",0.393,11,0,0.0,275800,4,0.488,-13.016,0.0325,0.494,84.252,0.0919,0.203
A-Punk,Vampire Weekend,5dKBaysNJtfpyNTRa5lqDb,"71
",0.551,2,1,0.0438,137760,4,0.821,-4.489,0.0539,0.0102,174.923,0.153,0.842
Your Song,Elton John,17VegeBoHvMlIByrdu64KR,"1
",0.551,3,1,7.04e-06,244227,4,0.27,-12.808,0.0326,0.851,128.221,0.0966,0.289
Hard Knock Life - The Ghetto Anthem,JAY-Z,7pO62ysbW2Wg5Y6pzKNEN7,"0
",0.86,9,0,0.00159,238467,4,0.674,-5.878,0.339,0.0912,77.005,0.0322,0.592
Smack My Bitch Up,The Prodigy,2lBpN5CZ3zLyVIPejUhN6Y,"0
",0.603,10,0,0.629,342733,4,0.993,-4.516,0.142,0.00334,136.223,0.11,0.247
We Will Rock You,Queen,35SH9W19yyN4Hxq8qHptPH,"0
",0.7,11,0,0.0,121560,4,0.434,-9.563,0.084,0.599,81.149,0.219,0.57
Heart of Gold,Neil Young,6xhEQmrVvtpEdw5mfySgJw,"0
",0.538,7,1,0.0462,187280,4,0.48,-9.863,0.0268,0.204,171.773,0.0955,0.834
Crazy Train,Ozzy Osbourne,2nKOUDSm0EhVvQWoDyjl27,"0
",0.475,9,1,0.00162,290160,4,0.915,-3.565,0.0608,0.0152,137.239,0.349,0.59
1979,The Smashing Pumpkins,5KRRcT67VNIZUygEbMoIC1,"0
",0.768,8,1,0.712,265893,4,0.744,-11.267,0.0338,0.0218,127.036,0.063,0.963
I'd Rather Dance With You,Kings of Convenience,4hGOhC87bn7JBdYykOJJvJ,"58
",0.843,0,0,0.0567,209027,4,0.833,-6.156,0.0341,0.329,141.99,0.126,0.972
Seaside,The Kooks,6ZygaqgtPkiahkiYJhYWhn,"65
",0.629,10,0,0.0,99227,4,0.422,-8.542,0.0411,0.705,129.456,0.124,0.325
Hoppípolla,Sigur Rós,6eTGxxQxiTFE6LfZHC33Wm,"59
",0.312,11,1,0.225,270013,4,0.543,-9.875,0.0308,0.0356,140.109,0.128,0.178
In Too Deep,Sum 41,68pN2UQYhwQgPy7VrCFKuV,"1
",0.566,9,1,0.0,207093,4,0.835,-5.885,0.0504,0.000192,116.041,0.0581,0.749
The Mirror's Truth,In Flames,1u6hmbx44EQRiDYvC6CYxJ,"0
",0.42,10,0,0.188,179720,4,0.976,-3.285,0.0882,8.13e-05,180.033,0.1,0.295
Free Fallin',Tom Petty,5GicVH0OTGMTR5bwYoXDwo,"0
",0.546,5,1,0.0,254413,4,0.647,-6.546,0.0254,0.0314,168.807,0.0591,0.576
Go Your Own Way,Fleetwood Mac,0FeCO85RKW8fDRytwXof2x,"0
",0.597,5,1,0.00106,218400,4,0.812,-12.062,0.0315,0.0219,135.68,0.102,0.823
Gimme Shelter,The Rolling Stones,1Rkx7ve9RqSuQ877R3X2HO,"0
",0.633,1,0,0.0363,270760,4,0.649,-8.272,0.0311,0.464,118.629,0.17,0.457
Primo Victoria,Sabaton,3E1b0oOWfFnXRvFoCvPEVZ,"0
",0.438,6,0,3.75e-06,250693,4,0.768,-6.094,0.0323,0.000798,62.113,0.222,0.57
Mmm Mmm Mmm Mmm,Crash Test Dummies,0yA1MBQ60SoiYt7xqdS3H1,"50
",0.585,3,1,2.22e-05,233267,4,0.564,-7.579,0.0226,0.236,92.949,0.0609,0.383
One,U2,0q52QGBWeEY1cMgHJCKhDD,"0
",0.552,0,1,0.00115,276133,4,0.466,-10.869,0.0274,0.236,90.702,0.128,0.34
One More Time,Daft Punk,0DiWol3AO6WpXZgp0goxAV,"76
",0.611,2,1,0.0,320357,4,0.697,-8.618,0.133,0.0193,122.752,0.332,0.476
Porcelain,Moby,2oqcM9cd19JrVS9jAvciUm,"0
",0.551,0,0,0.188,241160,4,0.628,-7.874,0.0294,0.00133,95.03,0.282,0.336
Last Request,Paolo Nutini,6xM8oBy40nK1rOd8WmoOPx,"69
",0.605,5,1,0.0,220413,4,0.704,-6.564,0.0476,0.241,80.925,0.137,0.4
Distortion Sleep,Soilwork,78icKPnMK7IW9Qhnai1eHQ,"0
",0.366,2,1,0.00799,225907,4,0.954,-6.157,0.161,7.62e-05,160.132,0.0432,0.32
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,1s4Ie0cT6P73SRSfh3oyGW,"0
",0.42,2,0,0.00675,291373,4,0.93,-5.583,0.0638,0.0189,99.641,0.264,0.344
Mamma Mia,ABBA,5ztQHTm1YQqcTkQmgDEU4n,"0
",0.748,2,1,0.000333,215110,4,0.771,-7.01,0.0318,0.28,137.543,0.466,0.782
Lithium,Nirvana,2DrEeo4eMULdAVe1U7P9PB,"0
",0.687,7,1,0.0,257133,4,0.685,-5.854,0.0367,0.00145,123.147,0.0657,0.359
Close To Me,The Cure,4xiyq1iRdsxuU1BPUJ490Z,"70
",0.724,11,1,0.703,203267,4,0.523,-11.139,0.116,0.0745,185.075,0.0811,0.965
Down Under,Men At Work,46RVKt5Edm1zl0rXhPJZxz,"75
",0.746,11,0,0.0261,220867,4,0.79,-4.7,0.0257,0.0485,107.231,0.0534,0.891
Forever Young,Alphaville,4S1VYqwfkLit9mKVY3MXoo,"75
",0.489,9,0,0.0028,226706,4,0.483,-9.466,0.0275,0.42,136.822,0.236,0.333
White Winter Hymnal,Fleet Foxes,4LKiFDUTwsqX8K3Up8I8K0,"0
",0.623,6,0,0.0,147027,4,0.524,-9.031,0.0271,0.444,124.915,0.333,0.611
Electric Feel,MGMT,3FtYbEfBqAlGO46NUDQSAt,"79
",0.763,1,1,0.28,229640,3,0.807,-3.714,0.035,0.0714,103.038,0.348,0.559
Boys Don't Cry,The Cure,1QFh8OH1e78dGd3VyJZCAC,"75
",0.462,11,0,0.0,155973,4,0.836,-5.766,0.0621,0.00517,168.766,0.18,0.671
She Moves In Her Own Way,The Kooks,5xoUgPXbMNUmoHU0Enwtwq,"72
",0.41,7,1,0.0,169307,4,0.803,-5.363,0.0623,0.239,153.315,0.103,0.814
Freestyler,Bomfunk MC's,4eZO97RGFo7IN6gm24Nv0S,"58
",0.824,11,0,0.376,306000,4,0.925,-5.814,0.0965,0.0263,163.854,0.247,0.554
Talk,Coldplay,4wzt5Rrk3W98pHXAqutuJw,"63
",0.415,7,0,0.00202,311292,4,0.554,-10.839,0.0334,0.00541,120.318,0.155,0.163
(Everything I Do) I Do It For You,Bryan Adams,0iFCiaAWiXP4ItlwQaPOvX,"0
",0.524,1,1,1.37e-05,393827,4,0.429,-10.064,0.0279,0.0803,131.206,0.0726,0.239
Nemo,Nightwish,76vUmbVfaldbl3w9UMeB3z,"0
",0.494,0,0,8.38e-05,276200,4,0.735,-6.326,0.0348,0.000185,125.042,0.086,0.359
Ironic,Alanis Morissette,4oGTdOClZUxcM2H3UmXlwL,"59
",0.295,11,1,0.0,225933,4,0.593,-7.572,0.0555,0.25,85.482,0.236,0.37
Walking in Memphis,Marc Cohn,5fgkjhICZnqFctrV0AyuQD,"71
",0.567,0,1,0.0,252613,4,0.512,-8.831,0.0357,0.547,130.269,0.296,0.334
White Trash Beautiful,Everlast,70bxulvjnkuu1NBeJtUK7m,"0
",0.622,7,1,0.00999,241333,4,0.704,-5.222,0.0275,0.011,79.973,0.0634,0.464
All My Life,Foo Fighters,5vMDvp6nUnTYhl5NMpgOnL,"0
",0.582,5,1,0.000273,262733,4,0.597,-5.671,0.0512,0.000194,167.738,0.517,0.674
Elegi,Lars Winnerbäck,4gb6ik72fZW6pzm5EJb39z,"0
",0.54,4,1,0.0542,274893,4,0.585,-6.964,0.029,0.147,93.965,0.128,0.655
You Can't Hurry Love,Phil Collins,4YUlGNZfYA6EUE5KDsGqpC,"0
",0.639,7,1,0.0,175347,4,0.923,-5.708,0.032,0.0674,97.874,0.0879,0.761
Sleeping My Day Away,D-A-D,1LfAxXcY6bAAaPZFfk2cWf,"45
",0.448,8,1,2.21e-05,263773,4,0.763,-11.366,0.0447,0.00846,145.872,0.0607,0.672
Home,Michael Bublé,4wLZ4zPM9c4oe1VV8ejdWV,"64
",0.608,7,1,1.87e-05,225907,4,0.37,-9.207,0.0306,0.844,127.631,0.112,0.349
Wicked Game - Remastered,Chris Isaak,5l91KHr9uF8wdSdtRoZba8,"64
",0.664,9,1,0.00978,286880,4,0.553,-7.723,0.0264,0.743,112.52,0.0838,0.287
Before I Forget,Slipknot,7bFs4yVuMdy28Ts7vLI2Zt,"42
",0.291,6,0,5.44e-06,278600,4,0.974,-2.997,0.171,0.0177,134.724,0.886,0.348
Sweet Dreams (Are Made Of This),Marilyn Manson,2miAut6dp9BWdGmOxwSGEC,"0
",0.39,8,1,0.565,293293,4,0.642,-5.266,0.0326,0.00502,92.397,0.296,0.132
Going Under,Evanescence,0o9GnO1Tqy0TqxV0P5uzb9,"0
",0.368,11,0,3.31e-05,215000,4,0.859,-4.882,0.0531,0.00925,175.088,0.164,0.483
crushcrushcrush,Paramore,3VA4sjTMSTTF02hFGmlpJh,"64
",0.631,1,0,5.65e-05,189373,4,0.793,-4.086,0.0468,0.000218,136.96,0.0976,0.648
Far Away,Nickelback,0ADZ5dmXhlfzjMw6lefoPl,"72
",0.518,6,1,0.0,238173,4,0.797,-5.153,0.0309,0.000696,132.915,0.107,0.293
Teenagers,My Chemical Romance,7j31rVgGX9Q2blT92VBEA0,"78
",0.463,4,1,0.0,161920,4,0.857,-3.063,0.0632,0.0506,111.647,0.184,0.856
Underneath Your Clothes,Shakira,6biR1gMwcN71SDt3Eh4eEu,"0
",0.625,8,1,0.0,224427,4,0.592,-5.279,0.0359,0.653,165.54,0.106,0.398
D.A.N.C.E.,Justice,0MYTcPXAAmeKBUpBgtAV0J,"0
",0.594,6,0,0.0,209987,4,0.961,-5.443,0.338,0.0463,113.126,0.853,0.531
House of the Rising Sun,The Animals,3XC7Jd6SfrQYKZJ6inyRHK,"67
",0.316,9,0,0.00445,269907,3,0.484,-9.11,0.0308,0.000334,117.363,0.0912,0.299
