name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,5Tj4faD9lGyMw8ZatUYR6G,0.904,0.672,-6.544,0.197,0.00382,139.984,0.138,0.398
The Bigger Picture,Lil Baby,44gRhRi2OhEf7moAUj6MD1,0.59,0.618,-5.756,0.334,0.0127,96.459,0.244,0.153
Muwop (feat. Gucci Mane),Mulatto,3CwcGdFwFF3DfHGGppdI4X,0.79,0.61,-6.958,0.102,0.0613,145.88,0.243,0.62
Kacey Talk,YoungBoy Never Broke Again,7dmD4eaEb5UCBYcEJkLke9,0.877,0.607,-7.818,0.15,0.535,127.055,0.138,0.773
ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,89.977,0.101,0.497
Conversations,Juice WRLD,2fZTS0VboxRpF0FdfY7E5P,0.747,0.622,-5.825,0.0838,0.176,159.93,0.151,0.57
Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ,0.832,0.534,-7.813,0.253,0.345,93.924,0.165,0.116
Need It,Migos,6mtjo5kIHKlboGE84lf1FJ,0.852,0.745,-3.667,0.171,0.0313,148.007,0.0824,0.897
Roses Remix (feat. Future),SAINt JHN,1KyZ4rUiW2lkqGNLQYKpcC,0.941,0.463,-5.993,0.113,0.0247,127.003,0.192,0.312
Stuntin' On You (feat. DaBaby),Tyla Yaweh,341lTIxmhybbQsgydwJiFx,0.796,0.683,-5.165,0.277,0.0111,173.852,0.126,0.737
Pussy Talk,City Girls,5EzL7hGT9g2Tvqsy158Lu9,0.943,0.641,-5.598,0.191,0.0016,99.099,0.211,0.242
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,66FgjA5ZQJJuypFG1bc8se,0.701,0.65,-6.313,0.104,0.291,90.003,0.112,0.647
Bleed,A Boogie Wit da Hoodie,3calQ6T24KiVOWlRKr7rfl,0.698,0.572,-7.735,0.198,0.135,71.446,0.154,0.391
Said Sum,Moneybagg Yo,45npF3MKvCa1sO7s4y7qBf,0.929,0.667,-6.789,0.353,0.0185,126.998,0.1,0.274
Girls in the Hood,Megan Thee Stallion,6WbTTAGKrQtCQvmc5BuYfh,0.821,0.863,-3.159,0.353,0.00824,180.013,0.0377,0.874
No Sense (feat. Key Glock),Young Dolph,67K5Ki1bLemeOlN012sip8,0.945,0.662,-6.581,0.24,0.0326,124.01,0.124,0.782
Over Your Head,Future,0Tcw8w9pvPrZoORgxsNASW,0.773,0.742,-5.453,0.162,0.00198,148.949,0.558,0.35
The Climb Back,J. Cole,0FlfN5cbUUpIHCRH8X1M44,0.61,0.569,-9.447,0.345,0.0398,81.409,0.337,0.287
Cool Again,Kane Brown,5P3oaNpPDVLRJsL3152SEs,0.608,0.735,-5.497,0.0371,0.0156,90.007,0.361,0.773
Starting Over,Chris Stapleton,3TNSVsiFngfe68UJpMq1oS,0.638,0.538,-8.445,0.0315,0.452,89.124,0.0695,0.318
Why We Drink,Justin Moore,4lSfhHd5Knwl8yQw2cVjAD,0.624,0.903,-3.046,0.0347,0.00824,116.99,0.309,0.724
No I in Beer,Brad Paisley,5UMjPT47GpOwkUo6e99R3s,0.498,0.901,-4.372,0.0459,0.00626,83.999,0.337,0.809
Lonely If You Are,Chase Rice,1Ut1A8UaNqGuwsHgWq75PW,0.593,0.745,-4.37,0.0574,0.19,169.951,0.227,0.849
Grew Up On That,High Valley,54tkmSblWo5WzUA00yzJkm,0.651,0.762,-6.084,0.0284,0.121,109.959,0.167,0.292
Run,Lauren Alaina,5wZs9W0nALt2QZn6yxDlxa,0.593,0.74,-5.508,0.0309,0.0215,99.997,0.0686,0.426
Got What I Got,Jason Aldean,4TCc369aRPRubv1m8R1TBG,0.512,0.58,-6.658,0.029,0.621,159.847,0.513,0.303
Some Girls,Jameson Rodgers,54eUv9Q3D9MZuOGS5PSflp,0.431,0.831,-5.108,0.0474,0.0791,167.96,0.312,0.352
Die From A Broken Heart,Maddie & Tae,3DA4SE262k6rdEtlHteNyq,0.596,0.522,-6.633,0.0358,0.373,76.042,0.291,0.443
Come Back To Bed,Sean Stemaly,0kSUH6KBoUrHWL93j1Lx3h,0.525,0.84,-4.21,0.037,0.42,136.037,0.361,0.806
One Margarita,Luke Bryan,6NhS5LwYbJ6xD7BGvlWRJO,0.641,0.842,-4.872,0.0464,0.0969,89.997,0.169,0.738
hole in the bottle,Kelsea Ballerini,2EzFVkHWMMWmdwW08AlCK8,0.478,0.873,-3.637,0.122,0.0486,104.365,0.374,0.739
More Than My Hometown,Morgan Wallen,6FniJZn4agmDtPx1pKZQsa,0.621,0.882,-5.01,0.0459,0.601,126.023,0.132,0.573
I Do,Astrid S,6Qp1DSekiuxHbFoSsg9JIk,0.665,0.524,-9.404,0.0458,0.502,110.019,0.124,0.215
Me About Me,RaeLynn,7F0fPQWt7E2jjreRSZOdna,0.465,0.61,-5.302,0.0317,0.625,83.664,0.128,0.235
Fall in Love,Josh Kerr,5fdzJmExgTptv36KpfKFI4,0.668,0.596,-10.074,0.0468,0.16,108.028,0.102,0.258
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,4ejNoyrhgjrioqJbgTNPu3,0.548,0.721,-4.466,0.0472,0.0119,177.918,0.216,0.594
Worship You,Kane Brown,4RN6OApAESI3Sh0gf5iuAM,0.63,0.496,-7.011,0.0329,0.388,78.024,0.088,0.387
Just the Way,Parmalee,5PAvFGse5jjDH9ke8Mae7D,0.426,0.829,-2.84,0.0569,0.107,180.241,0.317,0.814
Happy Anywhere (feat. Gwen Stefani),Blake Shelton,2DwbFtfC6sXBiVDPmju8Dd,0.538,0.745,-5.774,0.0387,0.1,165.755,0.063,0.669
Drunk & I Miss You,Jimmie Allen,7DoUCGBFzVTVfl4Nhl5BZE,0.583,0.661,-4.362,0.027,0.436,112.829,0.0923,0.541
"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,5FmvaZGd6fulojSToozLRD,0.516,0.745,-8.352,0.0774,0.563,186.004,0.275,0.825
One Of Them Girls,Lee Brice,14GwnOeC9qYEKEA6uOZepa,0.643,0.79,-6.079,0.0462,0.294,95.987,0.107,0.8
Broken Up,Mitchell Tenpenny,1Jn0osXy1WcDyniHgs67jT,0.578,0.869,-4.483,0.0355,0.0149,160.072,0.346,0.699
I Love My Country,Florida Georgia Line,16kqEZBfhhK8XlQpauKej1,0.538,0.941,-3.582,0.0639,0.0227,140.044,0.302,0.585
Things A Man Oughta Know,Lainey Wilson,7cwKO3SvjCpTyLiIWfnxpx,0.661,0.67,-5.58,0.0307,0.518,139.852,0.13,0.357
Single Saturday Night,Cole Swindell,1irAliF0T8sLIOPJp6n7rU,0.623,0.79,-5.07,0.0473,0.118,81.949,0.226,0.694
One Night Standards,Ashley McBryde,47qZzTLLJcuD69AIKnquo4,0.537,0.686,-5.022,0.0293,0.0287,78.052,0.0988,0.611
I Should Probably Go To Bed,Dan + Shay,5ovVcYo2MvjVydFwFyaaqy,0.721,0.277,-7.128,0.0365,0.634,131.935,0.112,0.309
Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,6AoHQqGnuwFk9ygWhzLRws,0.73,0.792,-5.33,0.13,0.0264,99.039,0.101,0.745
Be Like That - feat. Swae Lee & Khalid,Kane Brown,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,-8.415,0.0726,0.0469,86.97,0.126,0.322
Holding Out for the One,Tenille Townes,7IN4uBTZZK2KJ4tjBL44xU,0.6,0.742,-4.135,0.0379,0.00716,85.008,0.363,0.796
Almost Maybes,Jordan Davis,14JFKtBSqefxfMiKhq6JT8,0.582,0.868,-3.927,0.0522,0.146,90.105,0.103,0.555
Wildfire,Nate Smith,21HxYsyuuXZNqB1Dme5PQN,0.511,0.674,-4.992,0.026,0.0371,159.874,0.18,0.363
wAnt me back,Lindsay Ell,2Dv2XlnlpeZ0TZDt9TRPn3,0.54,0.695,-4.16,0.0656,0.167,156.133,0.11,0.667
Song About You,Sam Grow,5gRsliQqZLc4tv688SE3wB,0.57,0.767,-4.287,0.0331,0.000895,110.995,0.097,0.713
Seaside,Billy Currington,6uLhIbdIXQ4DGeOA8qFesw,0.599,0.832,-5.631,0.0348,0.00698,99.981,0.0514,0.509
Burn 'Em All,Kameron Marlowe,2UBvtKeetnXn6lMnsBUrZz,0.632,0.886,-3.986,0.054,0.115,114.951,0.136,0.637
Hold You Tonight (with Chris Lane),Gryffin,58jecLK0epwMLr9cy5vFUy,0.467,0.795,-3.6,0.0687,0.102,163.837,0.264,0.472
Like I Knew You Would,Payton Smith,0p16vTKfS8UpdZJqfaKMCB,0.641,0.929,-5.287,0.0709,0.122,101.991,0.129,0.551
Be A Light,Thomas Rhett,5o6dFqafETxZNqUFt9ZqAC,0.509,0.493,-6.676,0.0266,0.0397,97.846,0.102,0.264
